index,sample_id,question,gold,pred,exact_match,f1,rouge1_f,rouge2_f,rougeL_f,bleu1,bleu2,bleu3,bleu4,bert_f1,meteor,sbert_similarity,steps,llm_calls,generated_tokens,stop_reason,best_node_type,best_node_id,run_dir
10,10,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,Christopher Nolan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1,2,416,frontier_empty,memory,memory_mem_13,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_162318/runs/010_10
11,11,"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Weissman,Reasoning Pattern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,2,640,frontier_empty,memory,memory_mem_20,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_162318/runs/011_11
12,12,What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,Christopher Nolan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,736,frontier_empty,memory,memory_mem_13,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_162318/runs/012_12
13,13,Are Random House Tower and 888 7th Avenue both used for real estate?,no,Reasoning Pattern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,736,frontier_empty,memory,memory_mem_20,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_162318/runs/013_13
14,14,The football manager who recruited David Beckham managed Manchester United during what timeframe?,from 1986 to 2013,Christopher Nolan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,736,frontier_empty,memory,memory_mem_13,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_162318/runs/014_14
15,15,Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984",Christopher Nolan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,736,frontier_empty,memory,memory_mem_14,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_162318/runs/015_15
16,16,The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,the North Atlantic Conference,London,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,736,frontier_empty,memory,memory_mem_8,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_162318/runs/016_16
17,17,Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,yes,Christopher Nolan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,736,frontier_empty,memory,memory_mem_13,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_162318/runs/017_17
18,18,Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,1969 until 1974,London,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,736,frontier_empty,memory,memory_mem_8,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_162318/runs/018_18
19,19,"Which writer was from England, Henry Roth or Robert Erskine Childers?",Robert Erskine Childers DSC,London,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,736,frontier_empty,memory,memory_mem_8,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_162318/runs/019_19
20,20,Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?,Pedro Rodríguez,London,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,736,frontier_empty,memory,memory_mem_8,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_162318/runs/020_20
21,21,This singer of A Rather Blustery Day also voiced what hedgehog?,Sonic,Christopher Nolan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,736,frontier_empty,memory,memory_mem_13,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_162318/runs/021_21
22,22,"Aside from the Apple Remote, what other device can control the program Apple Remote was originally designed to interact with?",keyboard function keys,Christopher Nolan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,736,frontier_empty,memory,memory_mem_13,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_162318/runs/022_22
23,23,"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice?",Badly Drawn Boy,Christopher Nolan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,736,frontier_empty,memory,memory_mem_10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_162318/runs/023_23
24,24,What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?,World's Best Goalkeeper,Christopher Nolan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,736,frontier_empty,memory,memory_mem_13,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_162318/runs/024_24
25,25,Who was the writer of These Boots Are Made for Walkin' and who died in 2007?,Barton Lee Hazlewood,London,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,736,frontier_empty,memory,memory_mem_8,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_162318/runs/025_25
26,26,"The 2011–12 VCU Rams men's basketball team, led by third year head coach Shaka Smart, represented Virginia Commonwealth University which was founded in what year?",1838,Christopher Nolan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,736,frontier_empty,memory,memory_mem_14,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_162318/runs/026_26
27,27,"Are both Dictyosperma, and Huernia described as a genus?",yes,Christopher Nolan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,736,frontier_empty,memory,memory_mem_13,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_162318/runs/027_27
28,28,Kaiser Ventures corporation was founded by an American industrialist who became known as the father of modern American shipbuilding?,Henry J. Kaiser,London,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,736,frontier_empty,memory,memory_mem_8,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_162318/runs/028_28
29,29,"What is the name for the adventure in ""Tunnels and Trolls"", a game designed by Ken St. Andre?",Arena of Khazan,Christopher Nolan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,736,frontier_empty,memory,memory_mem_13,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260409_162318/runs/029_29
