index,sample_id,question,gold,pred,exact_match,f1,rouge1_f,rouge2_f,rougeL_f,bleu1,bleu2,bleu3,bleu4,bert_f1,meteor,sbert_similarity,steps,llm_calls,generated_tokens,stop_reason,best_node_type,best_node_id,evidence_titles_used,gold_support_titles,runtime_evidence_count,run_dir,metric_exact_match,metric_f1,metric_rouge1_f,metric_rouge2_f,metric_rougeL_f,metric_bleu1,metric_bleu2,metric_bleu3,metric_bleu4,metric_meteor,metric_bert_f1,metric_sbert_similarity
19,5a8133725542995ce29dcbdb,"Which writer was from England, Henry Roth or Robert Erskine Childers?",Robert Erskine Childers DSC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,166,frontier_empty,state,state_1,[],"[""Henry Roth"", ""Robert Erskine Childers""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260411_154406/runs/019_5a8133725542995ce29dcbdb,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
20,5ae7a8175542993210983ed8,Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?,Pedro Rodríguez,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,238,frontier_empty,state,state_1,[],"[""Formula One drivers from Mexico"", ""Sergio Pérez""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260411_154406/runs/020_5ae7a8175542993210983ed8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
21,5ae6050f55429929b0807a5e,This singer of A Rather Blustery Day also voiced what hedgehog?,Sonic,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,424,frontier_empty,state,state_1,[],"[""A Rather Blustery Day"", ""Jim Cummings""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260411_154406/runs/021_5ae6050f55429929b0807a5e,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
22,5adddccd5542997dc7907069,"Aside from the Apple Remote, what other device can control the program Apple Remote was originally designed to interact with?",keyboard function keys,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,344,frontier_empty,state,state_1,[],"[""Apple Remote"", ""Front Row (software)""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260411_154406/runs/022_5adddccd5542997dc7907069,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
23,5ae2070a5542994d89d5b313,"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice?",Badly Drawn Boy,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,472,frontier_empty,state,state_1,[],"[""Badly Drawn Boy"", ""Wolf Alice""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260411_154406/runs/023_5ae2070a5542994d89d5b313,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
24,5ae22b8d554299234fd0440f,What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?,World's Best Goalkeeper,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,166,frontier_empty,state,state_1,[],"[""Kasper Schmeichel"", ""Peter Schmeichel""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260411_154406/runs/024_5ae22b8d554299234fd0440f,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
25,5a722b8655429971e9dc9329,Who was the writer of These Boots Are Made for Walkin' and who died in 2007?,Barton Lee Hazlewood,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,356,frontier_empty,state,state_1,[],"[""These Boots Are Made for Walkin'"", ""Lee Hazlewood""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260411_154406/runs/025_5a722b8655429971e9dc9329,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
26,5adf37a95542995ec70e8f97,"The 2011–12 VCU Rams men's basketball team, led by third year head coach Shaka Smart, represented Virginia Commonwealth University which was founded in what year?",1838,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,276,frontier_empty,state,state_1,[],"[""2011–12 VCU Rams men's basketball team"", ""Virginia Commonwealth University""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260411_154406/runs/026_5adf37a95542995ec70e8f97,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
27,5abd259d55429924427fcf1a,"Are both Dictyosperma, and Huernia described as a genus?",yes,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,156,frontier_empty,state,state_1,[],"[""Dictyosperma"", ""Huernia""]",2,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260411_154406/runs/027_5abd259d55429924427fcf1a,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
28,5a828c8355429966c78a6a50,Kaiser Ventures corporation was founded by an American industrialist who became known as the father of modern American shipbuilding?,Henry J. Kaiser,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,183,frontier_empty,state,state_1,[],"[""Kaiser Ventures"", ""Henry J. Kaiser""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260411_154406/runs/028_5a828c8355429966c78a6a50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
29,5a8a3e745542996c9b8d5e70,"What is the name for the adventure in ""Tunnels and Trolls"", a game designed by Ken St. Andre?",Arena of Khazan,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2,3,182,frontier_empty,state,state_1,[],"[""Arena of Khazan"", ""Tunnels &amp; Trolls""]",10,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260411_154406/runs/029_5a8a3e745542996c9b8d5e70,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
