index,sample_id,question,gold,pred,exact_match,steps,llm_calls,generated_tokens,stop_reason,best_node_type,best_node_id,run_dir,metric_exact_match,metric_f1,metric_rouge1_f,metric_rouge2_f,metric_rougeL_f,metric_bleu1,metric_bleu2,metric_bleu3,metric_bleu4,metric_meteor,metric_bert_f1,metric_sbert_similarity
10,10,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,,0,1,2,150,frontier_empty,state,state_1,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260413_094507/runs/010_10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
11,11,"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Weissman,The Family Man,0,1,1,129,llm_stop_with_root_memory,memory,memory_mem_4,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260413_094507/runs/011_11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
12,12,What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,,0,2,3,297,frontier_empty,state,state_1,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260413_094507/runs/012_12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
13,13,Are Random House Tower and 888 7th Avenue both used for real estate?,no,,0,2,3,295,frontier_empty,state,state_1,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260413_094507/runs/013_13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
14,14,The football manager who recruited David Beckham managed Manchester United during what timeframe?,from 1986 to 2013,,0,2,3,288,frontier_empty,state,state_1,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260413_094507/runs/014_14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
15,15,Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984",,0,2,3,391,frontier_empty,state,state_1,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260413_094507/runs/015_15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
16,16,The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,the North Atlantic Conference,,0,2,3,274,frontier_empty,state,state_1,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260413_094507/runs/016_16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
17,17,Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,yes,,0,2,3,291,frontier_empty,state,state_1,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260413_094507/runs/017_17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
18,18,Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,1969 until 1974,,0,2,3,289,frontier_empty,state,state_1,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260413_094507/runs/018_18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
19,19,"Which writer was from England, Henry Roth or Robert Erskine Childers?",Robert Erskine Childers DSC,,0,2,3,317,frontier_empty,state,state_1,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260413_094507/runs/019_19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
20,20,Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?,Pedro Rodríguez,,0,2,3,276,frontier_empty,state,state_1,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260413_094507/runs/020_20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
21,21,This singer of A Rather Blustery Day also voiced what hedgehog?,Sonic,,0,2,3,306,frontier_empty,state,state_1,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260413_094507/runs/021_21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
22,22,"Aside from the Apple Remote, what other device can control the program Apple Remote was originally designed to interact with?",keyboard function keys,,0,2,3,302,frontier_empty,state,state_1,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260413_094507/runs/022_22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
23,23,"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice?",Badly Drawn Boy,,0,2,3,729,frontier_empty,state,state_1,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260413_094507/runs/023_23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
24,24,What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?,World's Best Goalkeeper,,0,2,3,286,frontier_empty,state,state_1,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260413_094507/runs/024_24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
25,25,Who was the writer of These Boots Are Made for Walkin' and who died in 2007?,Barton Lee Hazlewood,,0,2,3,775,frontier_empty,state,state_1,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260413_094507/runs/025_25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
26,26,"The 2011–12 VCU Rams men's basketball team, led by third year head coach Shaka Smart, represented Virginia Commonwealth University which was founded in what year?",1838,,0,2,3,447,frontier_empty,state,state_1,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260413_094507/runs/026_26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
27,27,"Are both Dictyosperma, and Huernia described as a genus?",yes,,0,2,3,305,frontier_empty,state,state_1,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260413_094507/runs/027_27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
28,28,Kaiser Ventures corporation was founded by an American industrialist who became known as the father of modern American shipbuilding?,Henry J. Kaiser,,0,2,3,272,frontier_empty,state,state_1,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260413_094507/runs/028_28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
29,29,"What is the name for the adventure in ""Tunnels and Trolls"", a game designed by Ken St. Andre?",Arena of Khazan,,0,2,3,281,frontier_empty,state,state_1,/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260413_094507/runs/029_29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
