index,sample_id,question,gold,pred,exact_match,soft_em,answer_f1,rouge1_f,rouge2_f,rougeL_f,bleu1,bleu2,bleu3,bleu4,meteor,title_hit,steps,llm_calls,generated_tokens,stop_reason,anytime_answer,anytime_answer_score,anytime_answer_source,best_node_type,best_node_id,run_dir
12,12,What type of writing did both Richard Harding Davis and Harry Stephen Keeler write?,fiction,fiction,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,3,7,533,llm_stop_with_root_memory,fiction,0.9933498000876516,final_synthesis,memory,memory_mem_6,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/012_12
13,13,"The name od the Jason Hook album ""Safety Dunce"" is a play on the words of a song released in what year?",1983,1983,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,8,13,837,frontier_empty,1983,0.8967347548464152,expansion_candidate,state,state_4,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/013_13
14,14,"The Nike Hoop Summit has had many current NBA players as former participants, including what German player from the Dallas Mavericks?",Dirk Werner Nowitzki,Dirk Nowitzki,0,1,0.8,0.8,0.0,0.8,0.606531,0.0,0.0,0.0,0.689655,0,2,4,282,llm_stop_with_root_memory,Dirk Nowitzki,0.9574089831875613,expansion_candidate,memory,memory_mem_5,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/014_14
15,15,Who was the husband of the prominent Walton family member who died after John died in 2005?,Sam Walton,Sam Walton,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,9,14,1200,final_synthesis_reserve,Sam Walton,0.8139354377300158,expansion_candidate,state,state_8,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/015_15
16,16,Larry Porter was formerly assistant head coach under what  American coach that served as head coach at Louisiana State University from 2005 to 2016,Les Miles,Les Miles,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,2,5,352,llm_stop_with_root_memory,Les Miles,0.9735999995867893,final_synthesis,memory,memory_mem_5,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/016_16
17,17,"What band in the ""Art Wave"" scene is based in Glasgow?",Franz Ferdinand,Life Without Buildings,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,8,547,high_confidence_root_memory,Life Without Buildings,0.873599994074971,final_synthesis,memory,memory_mem_5,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/017_17
18,18,What singer who was the seventh place finalist on the 7th season of American Idol first recorded the song Like My Mother Does,Kristy Lee Cook,Kristy Lee Cook,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,3,6,640,frontier_empty,Kristy Lee Cook,0.7782019779855771,expansion_candidate,state,state_1,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/018_18
19,19,"After joining Saturday Night Live in 2012, Cecily Strong played which character in the sketch ""What Up with That""?",Piper,Piper,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,2,4,236,llm_stop_with_root_memory,Piper,0.9100684544377722,expansion_candidate,memory,memory_mem_5,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/019_19
20,20,Fred Mace played for which English football club in 1919?,Stalybridge Celtic Football Club,Stalybridge Celtic,0,1,0.666667,0.666667,0.5,0.666667,0.367879,0.367879,0.0,0.0,0.526316,0,2,4,176,llm_stop_with_root_memory,Stalybridge Celtic,0.9454170123830148,expansion_candidate,memory,memory_mem_5,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/020_20
21,21,The organization that Nicolae Titulescu served two terms as president was founded on what date?,10 January 1920,10 January 1920,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,6,10,795,frontier_empty,1930,0.8842242321217483,expansion_candidate,memory,memory_mem_6,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/021_21
22,22,"What is the nationality of the composer of the Opera ""Iphigénie en Aulide"" ?",Italian,German,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,13,1031,final_synthesis_reserve,,0.0,,memory,memory_mem_7,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/022_22
23,23,"What is the name of the physician who studied the cause of the 1854 Broad Street cholera outbreak in London, England?",John Snow,John Snow,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,2,4,130,frontier_empty,John Snow,0.9283787957963466,expansion_candidate,state,state_1,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/023_23
24,24,"Orson Welles made Filming the Trial, a making-of film of the production of The Trial, which was originally filmed where?",Europe,Europe,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,8,15,1114,frontier_empty,Filming The Trial,0.7000369078376624,expansion_candidate,memory,memory_mem_6,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/024_24
25,25,"Which occurred first, Phillips v. Martin Marietta Corp. or Roth v. United States?",Roth v. United States,Roth v. United States,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,3,5,385,llm_stop_with_root_memory,United States,0.9982619670469901,expansion_candidate,memory,memory_mem_6,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/025_25
26,26,The scunthorpe telegraph and the Grimsby Telegraph used to service Scunthorpe which is in what country?,England,England,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,2,4,255,llm_stop_with_root_memory,England,0.9478514529736266,expansion_candidate,memory,memory_mem_5,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/026_26
27,27,Who was known for playing a fictionalized version of the wild politician who was the face of communist scare tact's in the early 1950's?,James Gregory,James Gregory,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,7,11,903,final_synthesis_reserve,,0.0,,memory,memory_mem_5,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/027_27
28,28,How large of the area is the nature reserve south of Seacroft Esplanade?,4.3 km2,4.3 km2,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,3,8,593,frontier_empty,4.3 km²,0.9771449344360543,final_synthesis,state,state_3,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/028_28
29,29,What languages did the son of Sacagawea speak?,French and English,"French, English, German, Spanish, and Shoshone",0,0,0.666667,0.666667,0.0,0.444444,0.5,0.0,0.0,0.0,0.909091,0,7,13,1128,final_synthesis_reserve,"Shoshone, French, English, German, Spanish, and other western American Indian languages",0.8443186069147943,expansion_candidate,memory,memory_mem_8,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/029_29
30,30,Spill.com gave their final review for a movie directed by who?,John Lee Hancock,John Lee Hancock,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,4,7,682,frontier_empty,Spill.com,0.6901983624535162,expansion_candidate,memory,memory_mem_5,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/030_30
31,31,Arundel Castle was damaged during a war between which two groups?,"Parliamentarians (""Roundheads"") and Royalists (""Cavaliers"")",,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,13,1097,final_synthesis_reserve,,0.0,,state,state_1,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/031_31
32,32,What kind of group does Takahiro Moriuchi and Doug Pinnick have in common?,band,rock band,0,1,0.666667,0.666667,0.0,0.666667,0.5,0.0,0.0,0.0,0.909091,0,5,11,935,final_synthesis_reserve,rock band,0.8983068454052404,final_synthesis,memory,memory_mem_6,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/032_32
33,33,Any Questions for Ben? was directed by which Australian producer and actor?,"Robert Ian ""Rob"" Sitch",Rob Sitch. It,0,0,0.571429,0.571429,0.4,0.571429,0.477688,0.358266,0.0,0.0,0.512821,0,2,5,277,llm_stop_with_root_memory,Rob Sitch. It,0.9735999978433653,final_synthesis,memory,memory_mem_6,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/033_33
34,34,Who was soldier Archie A. Peck's commanding officer during the Meuse-Argonne Offensive?,Major Charles White Whittlesey,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,11,1129,final_synthesis_reserve,,0.0,,state,state_5,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/034_34
35,35,What game where a play must act as a night security guard was a new intellectual property released in 2014?,Five Nights at Freddy's,Five Nights at Freddy's,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2,3,295,llm_stop_with_root_memory,Five Nights at Freddy's (video game),0.8804895386135175,grounded,memory,memory_mem_5,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/035_35
36,36,"How many major novels did the author write, whose 1811 book was adapted for a 2008 film with a screenplay by Andrew Davies ?",six,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,10,883,final_synthesis_reserve,,0.0,,state,state_1,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/036_36
37,37,Were both Pam Shriver and Amélie Mauresmo alive in the 1960s?,no,No,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,3,7,571,high_confidence_root_memory,No,0.875228514549668,final_synthesis,memory,memory_mem_6,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/037_37
38,38,Jordan's Furniture is a furniture retailer with a location in an enclosed shopping mall on the north side of Interstate 295 near what?,the junction with Interstate 95,the junction with Interstate 95,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,9,14,1085,final_synthesis_reserve,,0.0,,memory,memory_mem_7,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/038_38
39,39,Australian Associated Press was established by a journalist born in which year ?,1885,1885,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,6,13,934,frontier_empty,1885,0.8412533596168827,expansion_candidate,state,state_3,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/039_39
40,40,"Is Baiyin or Xinghua, Jiangsu a county-level city?",Xinghua () is a county-level city,"Xinghua, Jiangsu",0,0,0.285714,0.285714,0.0,0.285714,0.111565,0.0,0.0,0.0,0.212766,0,3,6,518,llm_stop_with_root_memory,"Xinghua, Jiangsu",0.980600777862467,final_synthesis,memory,memory_mem_6,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/040_40
41,41,"What son of Larry Johnson was born on November 19, 1979?",Larry Alphonso Johnson Jr.,Larry Alphonso Johnson Jr,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,3,133,llm_stop_with_root_memory,Racine,0.9573991581921929,grounded,state,state_1,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/041_41
42,42,Thunderbirds was a film featuring the exploits of what part of the Oklahoma Army National Guard?,45th Infantry Division,45th Infantry Division,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,2,3,305,llm_stop_with_root_memory,45th Infantry Division,0.8803599996615293,final_synthesis,memory,memory_mem_5,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/042_42
43,43,"Which single was recorded in 1989 at the first Tubronegro rehearsal by the Norwegian punk rock band, initially active from 1989 to 1998, whose style is ""deathpunk""?",Computech,Computech,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,5,8,621,frontier_empty,Computech,0.8898729939036341,expansion_candidate,state,state_1,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/043_43
44,44,Who hosted the ITV show Celebrities Under Pressure and All Star Family Fortunes?,Vernon Kay,Vernon Kay,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,3,6,447,high_confidence_root_memory,Vernon Kay,0.9459547552341011,final_synthesis,memory,memory_mem_6,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/044_44
45,45,In what year did construction begin on the stadium where the 2013 America East Men's Lacrosse Tournament was held?,in 2000,2000,0,1,0.666667,0.666667,0.0,0.666667,0.367879,0.0,0.0,0.0,0.526316,0,4,7,543,frontier_empty,2000,0.9211678438786467,expansion_candidate,state,state_2,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/045_45
46,46,"VEU, the American television channel owned by Golden West Broadcasting was similar to a defunct television servied owned by who?",National Subscription Television,National Subscription Television,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,7,12,919,final_synthesis_reserve,Jerrold Perenchio,0.8689496158003662,expansion_candidate,memory,memory_mem_6,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/046_46
47,47,What album succeeded Kendrick Lamar's album that had the song Money Trees in it?,Section.80,To Pimp a Butterfly,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,9,911,final_synthesis_reserve,,0.0,,memory,memory_mem_6,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/047_47
48,48,What city is home to the private research university Jung Seul-ki swam for?,"Seoul, South Korea",Seoul,0,1,0.5,0.5,0.0,0.5,0.135335,0.0,0.0,0.0,0.357143,0,5,9,600,frontier_empty,Seoul,0.9368560210299542,final_synthesis,memory,memory_mem_8,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/048_48
49,49,Did both Alan Crosland and Chris Columbus work as stage actor?,no,No,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,5,12,869,frontier_empty,No,0.87302274878009,final_synthesis,memory,memory_mem_5,/workspace/TDCA/batch_outputs/hotpot_tdca_random50_seed202604_20260509_130609/runs/049_49
