index,sample_id,question,gold,pred,exact_match,steps,llm_calls,generated_tokens,stop_reason,best_node_type,best_node_id,evidence_titles_used,gold_support_titles,run_dir
10,10,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,Kansas Song,1,1,2,385,frontier_empty,state,state_1,[],"['Kansas Song', 'University of Kansas']",/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260329_133206/runs/010_10
11,11,"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Weissman,The Family Man,0,1,1,320,llm_stop_with_root_memory,memory,memory_mem_6,"['The Family Man', 'Deadfall (1993 film)', 'David Weissman']","['David Weissman', 'The Family Man']",/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260329_133206/runs/011_11
12,12,What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,1999,1,2,3,701,frontier_empty,memory,memory_mem_6,"['End of Days (film)', 'Get Christie Love!']","[""Oh My God (Guns N' Roses song)"", 'End of Days (film)']",/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260329_133206/runs/012_12
13,13,Are Random House Tower and 888 7th Avenue both used for real estate?,no,Yes,0,2,3,704,frontier_empty,memory,memory_mem_6,['Random House Tower'],"['Random House Tower', '888 7th Avenue']",/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260329_133206/runs/013_13
14,14,The football manager who recruited David Beckham managed Manchester United during what timeframe?,from 1986 to 2013,1986 to 2013,0,2,3,694,frontier_empty,memory,memory_mem_6,['Ernest Mangnall'],"['1995–96 Manchester United F.C. season', 'Alex Ferguson']",/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260329_133206/runs/014_14
15,15,Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984","9,984",1,4,5,1312,anytime_token_guard,memory,memory_mem_6,['Brown State Fishing Lake'],"['Brown State Fishing Lake', 'Brown County, Kansas']",/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260329_133206/runs/015_15
16,16,The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,the North Atlantic Conference,America East Conference,0,4,5,1312,anytime_token_guard,memory,memory_mem_6,"[""Vermont Catamounts men's soccer"", ""Vermont Catamounts men's basketball""]","[""Vermont Catamounts men's soccer"", 'America East Conference']",/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260329_133206/runs/016_16
17,17,Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,yes,Yes,1,1,1,320,llm_stop_with_root_memory,memory,memory_mem_6,"['Ambroise Thomas', 'Armand Castelmary']","['Giuseppe Verdi', 'Ambroise Thomas']",/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260329_133206/runs/017_17
18,18,Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,1969 until 1974,1945–1953,0,4,4,1280,anytime_token_guard,memory,memory_mem_6,"['Roger O. Egeberg', 'Richard Nixon']","['Roger O. Egeberg', 'Richard Nixon']",/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260329_133206/runs/018_18
19,19,"Which writer was from England, Henry Roth or Robert Erskine Childers?",Robert Erskine Childers DSC,Robert Erskine Childers,0,2,3,736,frontier_empty,memory,memory_mem_6,['Henry Roth'],"['Henry Roth', 'Robert Erskine Childers']",/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260329_133206/runs/019_19
20,20,Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?,Pedro Rodríguez,Pedro Rodríguez,1,4,4,1223,anytime_token_guard,memory,memory_mem_7,"['Formula One drivers from Mexico', '2014 Bahrain Grand Prix', '2009 Singapore Grand Prix']","['Formula One drivers from Mexico', 'Sergio Pérez']",/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260329_133206/runs/020_20
21,21,This singer of A Rather Blustery Day also voiced what hedgehog?,Sonic,Jim Cummings,0,4,4,1280,anytime_token_guard,memory,memory_mem_6,['A Rather Blustery Day'],"['A Rather Blustery Day', 'Jim Cummings']",/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260329_133206/runs/021_21
22,22,"Aside from the Apple Remote, what other device can control the program Apple Remote was originally designed to interact with?",keyboard function keys,X,0,4,4,1280,anytime_token_guard,memory,memory_mem_6,['Apple Remote'],"['Apple Remote', 'Front Row (software)']",/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260329_133206/runs/022_22
23,23,"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice?",Badly Drawn Boy,Wolf Alice,0,2,3,718,frontier_empty,memory,memory_mem_6,['Wolf Alice'],"['Badly Drawn Boy', 'Wolf Alice']",/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260329_133206/runs/023_23
24,24,What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?,World's Best Goalkeeper,Peter Schmeichel,0,1,1,271,llm_stop_with_root_memory,memory,memory_mem_6,['Peter Schmeichel'],"['Kasper Schmeichel', 'Peter Schmeichel']",/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260329_133206/runs/024_24
25,25,Who was the writer of These Boots Are Made for Walkin' and who died in 2007?,Barton Lee Hazlewood,Nancy Sinatra,0,4,5,1312,anytime_token_guard,memory,memory_mem_6,"['Boots (EP)', 'Boots (album)', 'Nancy Sinatra']","[""These Boots Are Made for Walkin'"", 'Lee Hazlewood']",/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260329_133206/runs/025_25
26,26,"The 2011–12 VCU Rams men's basketball team, led by third year head coach Shaka Smart, represented Virginia Commonwealth University which was founded in what year?",1838,Virginia Commonwealth University,0,4,4,1280,anytime_token_guard,memory,memory_mem_6,"[""2011–12 VCU Rams men's basketball team"", 'Virginia Commonwealth University']","[""2011–12 VCU Rams men's basketball team"", 'Virginia Commonwealth University']",/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260329_133206/runs/026_26
27,27,"Are both Dictyosperma, and Huernia described as a genus?",yes,Yes,1,1,1,320,llm_stop_with_root_memory,memory,memory_mem_6,['Huernia'],"['Dictyosperma', 'Huernia']",/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260329_133206/runs/027_27
28,28,Kaiser Ventures corporation was founded by an American industrialist who became known as the father of modern American shipbuilding?,Henry J. Kaiser,Kaiser Ventures,0,4,4,1280,anytime_token_guard,memory,memory_mem_6,"['Kaiser Ventures', 'Kaiser Shipyards']","['Kaiser Ventures', 'Henry J. Kaiser']",/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260329_133206/runs/028_28
29,29,"What is the name for the adventure in ""Tunnels and Trolls"", a game designed by Ken St. Andre?",Arena of Khazan,Arena of Khazan,1,3,3,960,frontier_empty,memory,memory_mem_6,['Arena of Khazan'],"['Arena of Khazan', 'Tunnels &amp; Trolls']",/workspace/TDCA/batch_outputs/hotpot_dev_distractor_v1_20260329_133206/runs/029_29
